script,region,img_size,threads,mean,ci
mandelbrot_pth,elephant,2048,4,1.733970243,0.0026868147277894616
mandelbrot_pth,elephant,2048,8,1.644255912,0.004586041677019533
mandelbrot_pth,elephant,2048,16,1.617474902,0.002105294794473396
mandelbrot_pth,elephant,2048,32,1.607197952,0.0009961516110992823
mandelbrot_pth,elephant,4096,1,19.361007389,0.008400053693037698
mandelbrot_pth,elephant,4096,2,9.962288863,0.004322283426341575
mandelbrot_pth,elephant,4096,4,6.935529964,0.012466189421607255
mandelbrot_pth,elephant,4096,8,6.503834141,0.007256012695680313
mandelbrot_pth,elephant,4096,16,6.449823779,0.006396227512123969
mandelbrot_pth,elephant,4096,32,6.584433971,0.07754041467281649
mandelbrot_pth,elephant,8192,1,77.400095038,0.019189230368392422
mandelbrot_pth,elephant,8192,2,39.904228195,0.05441237312718393
mandelbrot_pth,elephant,8192,4,27.873971159,0.13475643724975808
mandelbrot_pth,elephant,8192,8,25.96111105,0.012872690668229462
mandelbrot_pth,elephant,8192,16,25.760111389,0.01915953894564145
mandelbrot_pth,elephant,8192,32,25.644653591,0.00953683258206055
mandelbrot_omp,elephant,16,1,0.000936889,1.3355865821646776e-5
mandelbrot_omp,elephant,16,2,0.001334948,0.00013230275388585676
mandelbrot_omp,elephant,16,4,0.001171547,0.00019721754722790304
mandelbrot_omp,elephant,16,8,0.002137697,0.0004722151479539873
mandelbrot_omp,elephant,16,16,0.001689824,0.00017784236750483667
mandelbrot_omp,elephant,16,32,0.001556509,1.9294685463120013e-5
mandelbrot_omp,elephant,32,1,0.001905375,1.913161129461941e-5
mandelbrot_omp,elephant,32,2,0.001557956,3.563178880946221e-5
mandelbrot_omp,elephant,32,4,0.003880133,0.0008465358349391309
mandelbrot_omp,elephant,32,8,0.001538349,4.614836368550558e-5
mandelbrot_omp,elephant,32,16,0.001668731,2.4202390431435042e-5
mandelbrot_omp,elephant,32,32,0.002274185,3.636650523403965e-5
mandelbrot_omp,elephant,64,1,0.005512748,1.4692397422662151e-5
mandelbrot_omp,elephant,64,2,0.003237835,1.7860795227258004e-5
